CourseNo,CourseName,NumberOfAdvisedStudents,NumberOfSections,AverageStudentsPerSection,ContactHours,NumberofSessions,RoomType
BAAC1102,Principles Of Accounting,4,,,,,
BAMG1100,Introduction To Business,5,,,,,
BAMG2111,Entrepreneurship,1,,,,,
BSCR3001,Entrepreneurship,5,,,,,
CSCM1101,Fundamentals of Computing and Information Systems,141,,,,,
CSCN1104,Computer Networking Fundamentals,166,,,,,
CSDB1102/ITDB101/ITDR2106,Introduction to Databases,162,,,,,
CSDS2101/ITDB202,Database Systems/Structured Query Language,19,,,,,
CSDS3101/ITDB304,Fundamentals of Big Data,25,,,,,
CSDS3202/ITSE415,Introduction to Data Science/Applied Data Science,35,,,,,
CSDS3203/ITSE407,Introduction to Artificial Intelligence,34,,,,,
CSIS3103/ITSW4112,User Experience Design/Human Computer Interaction,30,,,,,
CSND2101,Database Systems,1,,,,,
CSNW2101/ITNT309,Internet of Things (IoT),36,,,,,
CSNW2102/ITNT201/ITNW3101,Introduction to Routing and Switching,62,,,,,
CSNW2203,Diploma Course Project,22,,,,,
CSNW3204,Cloud Computing Fundamentals ,20,,,,,
CSOP1207/ITSE102/ITDR3102,Introduction to Operating Systems,109,,,,,
CSOS1207,Principles of Operating Systems,7,,,,,
CSPG1205/ITDR1104/ITSE101,Introduction to Programming,98,,,,,
CSPM3201/ITSE308/ITDR4100,Project Management and Acquisition/Software Project Management,115,,,,,
CSRM3202/RMCR3101/ITIS304,Research Methodology,101,,,,,
CSSE2101/ITSE202/ITDR2101,Introduction to Software Engineering/Principles of Information Systems,63,,,,,
CSSE2202/ITSE203/ITDR2104,Object Oriented Programming,27,,,,,
CSSE2203/ITSE205,Data Structures and Algorithms,27,,,,,
CSSE2204,Special Topics,22,,,,,
CSSE2205,Diploma Course Project,14,,,,,
CSSE3101/ITSE302/ITDM3105,Advanced Web Technologies/Development,44,,,,,
CSSE3102/ITSE306/ITDR3101,Object Oriented Analysis and Design/Systems Analysis and Design,29,,,,,
CSSY1208/ITSY201/ITDR2108,Introduction to Information Security,81,,,,,
CSSY2101,Advanced Information Security,40,,,,,
CSSY2201/ITSY301,Introduction to Cryptography,23,,,,,
CSSY3105,Authentication and Access Control,21,,,,,
CSSY3106/ITSY405,Network Security and Management/Network Security Management,20,,,,,
CSSY3201/ITNW4109,Advanced Topics in Information Security/Innovations in Networks and Security,19,,,,,
CSSY3202/ITSY303,Web Applications Security,10,,,,,
CSSY3203/ITSY305/ITSY3105,Ethical Hacking/Network Security A,63,,,,,
CSSY4101,B-Tech Course Project I,3,,,,,
CSSY4102,Advanced Cryptography,7,,,,,
CSSY4104/ITSY402,Digital Forensics/Introduction to Digital Forensics,8,,,,,
CSSY4201,B-Tech Course Project II,4,,,,,
CSWD1103/ITIS103,Web Development I/Web Technologies,141,,,,,
CSWD2101/ITDB201,Web Development II/Web Application Development,53,,,,,
ENIT2002,English for Specific Purposes  (IT),11,,,,,
"General Requirement 
","General Requirement 
(Elective) ",25,,,,,
ICCR1101,Islamic Culture ,26,,,,,
ITDM3104,Advanced Database Design,14,,,,,
ITDM4102,Distributed Data Management,2,,,,,
ITDM4103,Data Mining,18,,,,,
ITDM4111,Advanced Data Modeling,3,,,,,
ITDM4112,Information Retrieval,21,,,,,
ITDM4115,Web Services,13,,,,,
ITDR1102,Introduction to Web Development  ,2,,,,,
ITDR1103,Introduction to Discrete Mathematics,1,,,,,
ITDR1105,Web Development,6,,,,,
ITDR2102,Computer Organisation,20,,,,,
ITDR2103,Discrete Mathematics,2,,,,,
ITDR2105,Data Structures (1),34,,,,,
ITDR2107,Data Communications and Computer networks.,18,,,,,
ITDR3103,Data Structures(2),85,,,,,
ITGP4101,Graduation Project  1,7,,,,,
ITGP4102,Graduation Project  II,56,,,,,
ITNT103,Network Fundamentals II,3,,,,,
ITNT202,Logic Design,1,,,,,
ITNT203,Course Project,2,,,,,
ITNW3104,Network Technology,38,,,,,
ITNW3105,Network Management,23,,,,,
ITNW3105,Network Technology,1,,,,,
ITNW4103,Internetworking,1,,,,,
ITNW4104,Wireless Networking,12,,,,,
ITNW4112,Advanced Routing and Switching,5,,,,,
ITNW4114,Advanced Operating Systems,10,,,,,
ITNW4115, Network and Security Programming,51,,,,,
ITSE204,Course Project,3,,,,,
ITSE404,B-tech Project II,7,,,,,
ITSE408,Advanced Object Oriented Programming,2,,,,,
ITSE414,B-tech Project I,1,,,,,
ITSW3101,Applications Software Development,7,,,,,
ITSW3104,Concurrent Programming,12,,,,,
ITSW4109,Innovations in Software Development,5,,,,,
ITSY3104,Computer Security A,41,,,,,
ITSY403,Database Security,1,,,,,
ITSY404,B-tech Project II,2,,,,,
ITSY4104,Computer Security B,1,,,,,
ITSY4105,Network Security B,33,,,,,
ITSY4111,Cyber Security,18,,,,,
ITSY4114,Ethical Hacking and Network Defence,26,,,,,
MATH1200/MATH1202,Calculus I,72,,,,,
MATH2101/MATH201,Mathematics for Computing/Mathematics for IT,36,,,,,
MCCR1101,Introduction to Communications,4,,,,,
MCCR4101,Interpersonal Skills  ,2,,,,,
MTDR1102,Math for IT,1,,,,,
NON-PRO1 (DNDR OR BA),NON-PRO1 (DNDR OR BA),28,,,,,
NON-PRO2 (DNDR OR BA),NON-PRO2 (DNDR OR BA),48,,,,,
OECR1101,Omani Economy,2,,,,,
PHIL3108,Business Ethics,2,,,,,
PHIL3201,Formal Arabic Communication,1,,,,,
PHIL4101,Oman Civilization,10,,,,,
STAT3101/MATH311,Probability and Statistics,18,,,,,
UNEN1102,ENGLISH FOR ACADEMIC PURPOSES (English I),140,,,,,
UNEN1203,TECHNICAL WRITING (English II),55,,,,,
UNEN1203,Technical Writing,10,,,,,
UNEN3104,PUBLIC SPEAKING (English III),20,,,,,
UNEP2109,Entrepreneurship: Creativity & Innovation,24,,,,,
UNEP2109,Entrepreneurship: Creativity and Inov,20,,,,,
UNWE2216,WORKING ETHICS,33,,,,,
